curbweight,carlength,wheelbase,carwidth,price,enginesize,horsepower,citympg,carbody,drivewheel
1819,144.6,86.6,63.9,6855.0,92,76,31,hatchback,fwd
1837,150.0,93.7,64.0,5399.0,79,60,38,hatchback,fwd
1940,150.0,93.7,64.0,6529.0,92,76,30,hatchback,fwd
1956,150.0,93.7,64.0,7129.0,92,76,30,hatchback,fwd
2010,163.4,96.5,64.0,7295.0,92,76,30,sedan,fwd
2024,157.1,96.5,63.9,7295.0,92,76,30,wagon,fwd
2236,167.5,96.5,65.2,7895.0,110,86,27,hatchback,fwd
2289,167.5,96.5,65.2,9095.0,110,86,27,hatchback,fwd
2304,175.4,96.5,65.2,8845.0,110,86,27,sedan,fwd
2372,175.4,96.5,62.5,10295.0,110,86,27,sedan,fwd
2465,175.4,96.5,65.2,12945.0,110,101,24,sedan,fwd
2293,169.1,96.5,66.0,10345.0,110,100,25,sedan,fwd
2337,170.7,94.3,61.8,6785.0,111,78,24,sedan,rwd
1874,155.9,94.5,63.6,8916.5,90,70,38,sedan,fwd
1909,155.9,94.5,63.6,8916.5,90,70,38,sedan,fwd
2734,172.6,96.0,65.2,11048.0,119,90,24,hatchback,rwd
4066,199.6,113.0,69.6,32250.0,258,176,15,sedan,rwd
4066,199.6,113.0,69.6,35550.0,258,176,15,sedan,rwd
3950,191.7,102.0,70.6,36000.0,326,262,13,sedan,rwd
1890,159.1,93.1,64.2,5195.0,91,68,30,hatchback,fwd
1900,159.1,93.1,64.2,6095.0,91,68,31,hatchback,fwd
1905,159.1,93.1,64.2,6795.0,91,68,31,hatchback,fwd
1945,166.8,93.1,64.2,6695.0,91,68,31,sedan,fwd
1950,166.8,93.1,64.2,7395.0,91,68,31,sedan,fwd
2380,169.0,95.3,65.7,10945.0,70,101,17,hatchback,rwd
2380,169.0,95.3,65.7,11845.0,70,101,17,hatchback,rwd
2385,169.0,95.3,65.7,13645.0,70,101,17,hatchback,rwd
2500,169.0,95.3,65.7,15645.0,80,135,16,hatchback,rwd
2385,177.8,98.8,66.5,8845.0,122,84,26,hatchback,fwd
2410,177.8,98.8,66.5,8495.0,122,84,26,sedan,fwd
2385,177.8,98.8,66.5,10595.0,122,84,26,hatchback,fwd
2410,177.8,98.8,66.5,10245.0,122,84,26,sedan,fwd
2443,177.8,98.8,66.5,10795.0,122,64,36,sedan,fwd
2425,177.8,98.8,66.5,11245.0,122,84,26,hatchback,fwd
2670,175.0,104.9,66.1,18280.0,140,120,19,sedan,rwd
2700,175.0,104.9,66.1,18344.0,134,72,31,sedan,rwd
3515,190.9,110.0,70.3,25552.0,183,123,22,sedan,rwd
3750,190.9,110.0,70.3,28248.0,183,123,22,wagon,rwd
3495,187.5,106.7,70.3,28176.0,183,123,22,hardtop,rwd
3770,202.6,115.6,71.7,31600.0,183,123,22,sedan,rwd
3740,202.6,115.6,71.7,34184.0,234,155,16,sedan,rwd
3685,180.3,96.6,70.5,35056.0,234,155,16,convertible,rwd
3900,208.1,120.9,71.7,40960.0,308,184,14,sedan,rwd
3715,199.2,112.0,72.0,45400.0,304,184,14,hardtop,rwd
2910,178.4,102.7,68.0,16503.0,140,175,19,hatchback,rwd
1918,157.3,93.7,64.4,5389.0,92,68,37,hatchback,fwd
1944,157.3,93.7,64.4,6189.0,92,68,31,hatchback,fwd
2004,157.3,93.7,64.4,6669.0,92,68,31,hatchback,fwd
2145,157.3,93.0,63.8,7689.0,98,102,24,hatchback,fwd
2370,173.0,96.3,65.4,9959.0,110,116,23,hatchback,fwd
2328,173.0,96.3,65.4,8499.0,122,88,25,hatchback,fwd
2833,173.2,95.9,66.3,12629.0,156,145,19,hatchback,fwd
2921,173.2,95.9,66.3,14869.0,156,145,19,hatchback,fwd
2926,173.2,95.9,66.3,14489.0,156,145,19,hatchback,fwd
2365,172.4,96.3,65.4,6989.0,122,88,25,sedan,fwd
2405,172.4,96.3,65.4,8189.0,122,88,25,sedan,fwd
2403,172.4,96.3,65.4,9279.0,110,116,23,sedan,fwd
2403,172.4,96.3,65.4,9279.0,110,116,23,sedan,fwd
1889,165.3,94.5,63.8,5499.0,97,69,31,sedan,fwd
2017,165.3,94.5,63.8,7099.0,103,55,45,sedan,fwd
1918,165.3,94.5,63.8,6649.0,97,69,31,sedan,fwd
1938,165.3,94.5,63.8,6849.0,97,69,31,sedan,fwd
2024,170.2,94.5,63.8,7349.0,97,69,31,wagon,fwd
1951,165.3,94.5,63.8,7299.0,97,69,31,sedan,fwd
2028,165.6,94.5,63.8,7799.0,97,69,31,hatchback,fwd
1971,165.3,94.5,63.8,7499.0,97,69,31,sedan,fwd
2037,170.2,94.5,63.8,7999.0,97,69,31,wagon,fwd
2008,162.4,95.1,63.8,8249.0,97,69,31,hardtop,fwd
2324,173.4,97.2,65.2,8949.0,120,97,27,hatchback,fwd
2302,173.4,97.2,65.2,9549.0,120,97,27,sedan,fwd
3095,181.7,100.4,66.5,13499.0,181,152,17,sedan,fwd
3296,184.6,100.4,66.5,14399.0,181,152,17,wagon,fwd
3060,184.6,100.4,66.5,13499.0,181,152,19,sedan,fwd
3071,170.7,91.3,67.9,17199.0,181,160,19,hatchback,rwd
3139,170.7,91.3,67.9,19699.0,181,200,17,hatchback,rwd
3139,178.5,99.2,67.9,18399.0,181,160,19,hatchback,rwd
3020,186.7,107.9,68.4,11900.0,120,97,19,sedan,rwd
3197,186.7,107.9,68.4,13200.0,152,95,28,sedan,rwd
3230,198.9,114.2,68.4,12440.0,120,97,19,wagon,rwd
3430,198.9,114.2,68.4,13860.0,152,95,25,wagon,rwd
3075,186.7,107.9,68.4,15580.0,120,95,19,sedan,rwd
3252,186.7,107.9,68.4,16900.0,152,95,28,sedan,rwd
3285,198.9,114.2,68.4,16695.0,120,95,19,wagon,rwd
3485,198.9,114.2,68.4,17075.0,152,95,25,wagon,rwd
3075,186.7,107.9,68.4,16630.0,120,97,19,sedan,rwd
3252,186.7,107.9,68.4,17950.0,152,95,28,sedan,rwd
3130,186.7,108.0,68.3,18150.0,134,142,18,sedan,rwd
1918,157.3,93.7,63.8,5572.0,90,68,37,hatchback,fwd
2128,157.3,93.7,63.8,7957.0,98,102,24,hatchback,fwd
1967,157.3,93.7,63.8,6229.0,90,68,31,hatchback,fwd
1989,167.3,93.7,63.8,6692.0,90,68,31,sedan,fwd
2191,167.3,93.7,63.8,7609.0,98,68,31,sedan,fwd
2535,174.6,103.3,64.6,8921.0,122,88,24,wagon,fwd
2818,173.2,95.9,66.3,12764.0,156,145,19,hatchback,rwd
2778,168.9,94.5,68.3,22018.0,151,143,19,hatchback,rwd
2756,168.9,89.5,65.0,32528.0,194,207,17,hardtop,rwd
2756,168.9,89.5,65.0,34028.0,194,207,17,hardtop,rwd
2800,168.9,89.5,65.0,37028.0,194,207,17,convertible,rwd
3366,175.7,98.4,72.3,31400.5,203,288,17,hatchback,rwd
2579,181.5,96.1,66.5,9295.0,132,90,23,wagon,fwd
2460,176.8,96.1,66.6,9895.0,132,90,23,hatchback,fwd
2658,186.6,99.1,66.5,11850.0,121,110,21,hatchback,fwd
2695,186.6,99.1,66.5,12170.0,121,110,21,sedan,fwd
2707,186.6,99.1,66.5,15040.0,121,110,21,hatchback,fwd
2758,186.6,99.1,66.5,15510.0,121,110,21,sedan,fwd
2808,186.6,99.1,66.5,18150.0,121,160,19,hatchback,fwd
2847,186.6,99.1,66.5,18620.0,121,160,19,sedan,fwd
2050,156.9,93.7,63.4,5118.0,97,69,31,hatchback,fwd
2120,157.9,93.7,63.6,7053.0,108,73,26,hatchback,fwd
2240,157.3,93.3,63.8,7603.0,108,73,26,hatchback,4wd
2145,172.0,97.2,65.4,7126.0,108,82,32,sedan,fwd
2190,172.0,97.2,65.4,7775.0,108,82,28,sedan,fwd
2340,172.0,97.2,65.4,9960.0,108,94,26,sedan,fwd
2385,172.0,97.0,65.4,9233.0,108,82,24,sedan,4wd
2510,172.0,97.0,65.4,11259.0,108,111,24,sedan,4wd
2290,173.5,97.0,65.4,7463.0,108,82,28,wagon,fwd
2455,173.5,97.0,65.4,10198.0,108,94,25,wagon,fwd
2420,173.6,96.9,65.4,8013.0,108,82,23,wagon,4wd
2650,173.6,96.9,65.4,11694.0,108,111,23,wagon,4wd
1985,158.7,95.7,63.6,5348.0,92,62,35,hatchback,fwd
2040,158.7,95.7,63.6,6338.0,92,62,31,hatchback,fwd
2015,158.7,95.7,63.6,6488.0,92,62,31,hatchback,fwd
2280,169.7,95.7,63.6,6918.0,92,62,31,wagon,fwd
2290,169.7,95.7,63.6,7898.0,92,62,27,wagon,4wd
3110,169.7,95.7,63.6,8778.0,92,62,27,wagon,4wd
2081,166.3,95.7,64.4,6938.0,98,70,30,sedan,fwd
2109,166.3,95.7,64.4,7198.0,98,70,30,hatchback,fwd
2275,166.3,95.7,64.4,7898.0,110,56,34,sedan,fwd
2275,166.3,95.7,64.4,7788.0,110,56,38,hatchback,fwd
2094,166.3,95.7,64.4,7738.0,98,70,38,sedan,fwd
2122,166.3,95.7,64.4,8358.0,98,70,28,hatchback,fwd
2140,166.3,95.7,64.4,9258.0,98,70,28,sedan,fwd
2169,168.7,94.5,64.0,8058.0,98,70,29,sedan,rwd
2204,168.7,94.5,64.0,8238.0,98,70,29,hatchback,rwd
2265,168.7,94.5,64.0,9298.0,98,112,26,sedan,rwd
2300,168.7,94.5,64.0,9538.0,98,112,26,hatchback,rwd
2540,176.2,98.4,65.6,8449.0,146,116,24,hardtop,rwd
2536,176.2,98.4,65.6,9639.0,146,116,24,hardtop,rwd
2551,176.2,98.4,65.6,9989.0,146,116,24,hatchback,rwd
2679,176.2,98.4,65.6,11199.0,146,116,24,hardtop,rwd
2714,176.2,98.4,65.6,11549.0,146,116,24,hatchback,rwd
2975,176.2,98.4,65.6,17669.0,146,116,24,convertible,rwd
2326,175.6,102.4,66.5,8948.0,122,92,29,sedan,fwd
2480,175.6,102.4,66.5,10698.0,110,73,30,sedan,fwd
2414,175.6,102.4,66.5,9988.0,122,92,27,hatchback,fwd
2414,175.6,102.4,66.5,10898.0,122,92,27,sedan,fwd
2458,175.6,102.4,66.5,11248.0,122,92,27,hatchback,fwd
2976,183.5,102.9,67.7,16558.0,171,161,20,hatchback,rwd
3016,183.5,102.9,67.7,15998.0,171,161,19,hatchback,rwd
3131,187.8,104.5,66.5,15690.0,171,156,20,sedan,rwd
3151,187.8,104.5,66.5,15750.0,161,156,19,wagon,rwd
2261,171.7,97.3,65.5,7775.0,97,52,37,sedan,fwd
2209,171.7,97.3,65.5,7975.0,109,85,27,sedan,fwd
2264,171.7,97.3,65.5,7995.0,97,52,37,sedan,fwd
2212,171.7,97.3,65.5,8195.0,109,85,27,sedan,fwd
2275,171.7,97.3,65.5,8495.0,109,85,27,sedan,fwd
2319,171.7,97.3,65.5,9495.0,97,68,37,sedan,fwd
2300,171.7,97.3,65.5,9995.0,109,100,26,sedan,fwd
2254,159.3,94.5,64.2,11595.0,109,90,24,convertible,fwd
2221,165.7,94.5,64.0,9980.0,109,90,24,hatchback,fwd
2661,180.2,100.4,66.9,13295.0,136,110,19,sedan,fwd
2579,180.2,100.4,66.9,13845.0,97,68,33,sedan,fwd
2563,183.1,100.4,66.9,12290.0,109,88,25,wagon,fwd
2912,188.8,104.3,67.2,12940.0,141,114,23,sedan,rwd
3034,188.8,104.3,67.2,13415.0,141,114,23,wagon,rwd
2935,188.8,104.3,67.2,15985.0,141,114,24,sedan,rwd
3042,188.8,104.3,67.2,16515.0,141,114,24,wagon,rwd
3045,188.8,104.3,67.2,18420.0,130,162,17,sedan,rwd
3157,188.8,104.3,67.2,18950.0,130,162,17,wagon,rwd
2952,188.8,109.1,68.9,16845.0,141,114,23,sedan,rwd
3049,188.8,109.1,68.8,19045.0,141,160,19,sedan,rwd
3012,188.8,109.1,68.9,21485.0,173,134,18,sedan,rwd
3217,188.8,109.1,68.9,22470.0,145,106,26,sedan,rwd
3062,188.8,109.1,68.9,22625.0,141,114,19,sedan,rwd
