wheelbase,carlength,carwidth,carheight,curbweight,enginesize,horsepower,highwaympg,car_ID,cluster
107.9,186.7,68.4,56.7,3075,120,97,24,116,2
107.9,186.7,68.4,56.7,3252,152,95,33,117,2
108.0,186.7,68.3,56.0,3130,134,142,24,118,2
93.7,157.3,63.8,50.8,1918,90,68,41,119,0
93.7,157.3,63.8,50.8,2128,98,102,30,120,0
93.7,157.3,63.8,50.6,1967,90,68,38,121,0
93.7,167.3,63.8,50.8,1989,90,68,38,122,0
93.7,167.3,63.8,50.8,2191,98,68,38,123,0
103.3,174.6,64.6,59.8,2535,122,88,30,124,3
95.9,173.2,66.3,50.2,2818,156,145,24,125,1
94.5,168.9,68.3,50.2,2778,151,143,27,126,1
89.5,168.9,65.0,51.6,2756,194,207,25,127,1
89.5,168.9,65.0,51.6,2756,194,207,25,128,1
89.5,168.9,65.0,51.6,2800,194,207,25,129,1
98.4,175.7,72.3,50.5,3366,203,288,28,130,2
96.1,181.5,66.5,55.2,2579,132,90,31,131,3
96.1,176.8,66.6,50.5,2460,132,90,31,132,1
99.1,186.6,66.5,56.1,2658,121,110,28,133,3
99.1,186.6,66.5,56.1,2695,121,110,28,134,3
99.1,186.6,66.5,56.1,2707,121,110,28,135,3
99.1,186.6,66.5,56.1,2758,121,110,28,136,3
99.1,186.6,66.5,56.1,2808,121,160,26,137,2
99.1,186.6,66.5,56.1,2847,121,160,26,138,2
93.7,156.9,63.4,53.7,2050,97,69,36,139,0
93.7,157.9,63.6,53.7,2120,108,73,31,140,0
93.3,157.3,63.8,55.7,2240,108,73,31,141,0
97.2,172.0,65.4,52.5,2145,108,82,37,142,0
97.2,172.0,65.4,52.5,2190,108,82,33,143,3
97.2,172.0,65.4,52.5,2340,108,94,32,144,3
97.0,172.0,65.4,54.3,2385,108,82,25,145,3
97.0,172.0,65.4,54.3,2510,108,111,29,146,3
97.0,173.5,65.4,53.0,2290,108,82,32,147,3
97.0,173.5,65.4,53.0,2455,108,94,31,148,3
96.9,173.6,65.4,54.9,2420,108,82,29,149,3
96.9,173.6,65.4,54.9,2650,108,111,23,150,3
95.7,158.7,63.6,54.5,1985,92,62,39,151,0
95.7,158.7,63.6,54.5,2040,92,62,38,152,0
95.7,158.7,63.6,54.5,2015,92,62,38,153,0
95.7,169.7,63.6,59.1,2280,92,62,37,154,3
95.7,169.7,63.6,59.1,2290,92,62,32,155,3
95.7,169.7,63.6,59.1,3110,92,62,32,156,3
95.7,166.3,64.4,53.0,2081,98,70,37,157,0
95.7,166.3,64.4,52.8,2109,98,70,37,158,0
95.7,166.3,64.4,53.0,2275,110,56,36,159,0
95.7,166.3,64.4,52.8,2275,110,56,47,160,0
95.7,166.3,64.4,53.0,2094,98,70,47,161,0
95.7,166.3,64.4,52.8,2122,98,70,34,162,0
95.7,166.3,64.4,52.8,2140,98,70,34,163,0
94.5,168.7,64.0,52.6,2169,98,70,34,164,0
94.5,168.7,64.0,52.6,2204,98,70,34,165,0
94.5,168.7,64.0,52.6,2265,98,112,29,166,3
94.5,168.7,64.0,52.6,2300,98,112,29,167,3
98.4,176.2,65.6,52.0,2540,146,116,30,168,1
98.4,176.2,65.6,52.0,2536,146,116,30,169,1
98.4,176.2,65.6,52.0,2551,146,116,30,170,1
98.4,176.2,65.6,52.0,2679,146,116,30,171,1
98.4,176.2,65.6,52.0,2714,146,116,30,172,1
98.4,176.2,65.6,53.0,2975,146,116,30,173,1
102.4,175.6,66.5,54.9,2326,122,92,34,174,3
102.4,175.6,66.5,54.9,2480,110,73,33,175,3
102.4,175.6,66.5,53.9,2414,122,92,32,176,3
102.4,175.6,66.5,54.9,2414,122,92,32,177,3
102.4,175.6,66.5,53.9,2458,122,92,32,178,3
102.9,183.5,67.7,52.0,2976,171,161,24,179,2
102.9,183.5,67.7,52.0,3016,171,161,24,180,2
104.5,187.8,66.5,54.1,3131,171,156,24,181,2
104.5,187.8,66.5,54.1,3151,161,156,24,182,2
97.3,171.7,65.5,55.7,2261,97,52,46,183,0
97.3,171.7,65.5,55.7,2209,109,85,34,184,3
97.3,171.7,65.5,55.7,2264,97,52,46,185,0
97.3,171.7,65.5,55.7,2212,109,85,34,186,3
97.3,171.7,65.5,55.7,2275,109,85,34,187,3
97.3,171.7,65.5,55.7,2319,97,68,42,188,3
97.3,171.7,65.5,55.7,2300,109,100,32,189,3
94.5,159.3,64.2,55.6,2254,109,90,29,190,3
94.5,165.7,64.0,51.4,2221,109,90,29,191,0
100.4,180.2,66.9,55.1,2661,136,110,24,192,3
100.4,180.2,66.9,55.1,2579,97,68,38,193,3
100.4,183.1,66.9,55.1,2563,109,88,31,194,3
104.3,188.8,67.2,56.2,2912,141,114,28,195,2
104.3,188.8,67.2,57.5,3034,141,114,28,196,2
104.3,188.8,67.2,56.2,2935,141,114,28,197,2
104.3,188.8,67.2,57.5,3042,141,114,28,198,2
104.3,188.8,67.2,56.2,3045,130,162,22,199,2
104.3,188.8,67.2,57.5,3157,130,162,22,200,2
109.1,188.8,68.9,55.5,2952,141,114,28,201,2
109.1,188.8,68.8,55.5,3049,141,160,25,202,2
109.1,188.8,68.9,55.5,3012,173,134,23,203,2
109.1,188.8,68.9,55.5,3217,145,106,27,204,2
109.1,188.8,68.9,55.5,3062,141,114,25,205,2
